osmid;x;y;highway
56365228;-86.895939;33.454586;
56365231;-86.895939;33.45429;
56365236;-86.895918;33.453387;
56365238;-86.89592;33.453148;
56365300;-86.723817;33.524048;
56365302;-86.72381;33.524088;
56365308;-86.718428;33.5494688;
56365311;-86.7184589;33.5512621;
56365933;-86.896927;33.544853;
56365959;-86.897901;33.544148;
56365970;-86.762161;33.535086;
56365976;-86.7629955;33.5376882;
56365980;-86.7629909;33.5393461;
56365983;-86.76312;33.539461;
56365987;-86.761565;33.533907;
56365990;-86.762309;33.535015;
56366054;-86.700357;33.588215;
56366214;-86.714049;33.597124;
56366215;-86.713995;33.598683;
56366910;-86.761069;33.533049;
56366914;-86.760537;33.532228;
56366921;-86.759374;33.530537;
56366923;-86.75898;33.529933;
56366925;-86.759082;33.529843;
56366931;-86.758244;33.52923;
56366936;-86.757164;33.528458;
56366950;-86.869888;33.465705;
56366954;-86.871362;33.4657471;
56366959;-86.8740879;33.4658249;
56366972;-86.8769283;33.465906;
56366988;-86.87889;33.466017;
56366991;-86.880406;33.466062;
56367007;-86.882947;33.466144;
56367407;-86.722385;33.52409;
56367413;-86.72437;33.524046;
56367605;-86.843377;33.43866;
56367608;-86.84308;33.439304;
56367611;-86.842972;33.439529;
56367614;-86.842274;33.440976;
56367617;-86.842017;33.441511;
56367627;-86.841369;33.443647;
56367634;-86.840997;33.449226;
56367647;-86.840406;33.452204;
56367755;-86.843352;33.434807;
56367781;-86.842915;33.43934;
56367792;-86.842826;33.439556;
56367794;-86.842556;33.440085;
56367797;-86.841896;33.441509;
56367810;-86.841264;33.443644;
56367848;-86.839935;33.453929;
56367926;-86.86885;33.436751;
56367938;-86.834316;33.497346;
56367950;-86.835239;33.496892;
56368194;-86.761316;33.5277701;
56368198;-86.7593984;33.5280626;
56368200;-86.758269;33.5278775;
56368202;-86.7580509;33.5278408;
56368225;-86.746884;33.528976;
56368231;-86.742817;33.530201;
56368233;-86.741885;33.530476;
56368235;-86.740742;33.530819;
56368237;-86.739136;33.5313;
56368247;-86.7326793;33.532148;
56368260;-86.721172;33.530668;
56368263;-86.715955;33.530921;
56368265;-86.715111;33.53096;
56368335;-86.715091;33.530825;
56368345;-86.721179;33.530506;
56368352;-86.7267312;33.5298156;
56368390;-86.735389;33.532238;
56368398;-86.739087;33.531177;
56368400;-86.74068;33.530679;
56368402;-86.741875;33.530326;
56368405;-86.742686;33.530074;
56368412;-86.746857;33.528816;
56368419;-86.750049;33.527862;
56368425;-86.752138;33.527518;
56368431;-86.757291;33.527645;
56368433;-86.757907;33.5277;
56368603;-86.759094;33.546719;
56368606;-86.759091;33.547262;
56368608;-86.7590848;33.5483793;
56368615;-86.759117;33.541085;
56368618;-86.759088;33.543405;
56368623;-86.758131;33.535553;
56368626;-86.758854;33.536639;
56368634;-86.759119;33.53931;
56368642;-86.7571147;33.5483427;
56368647;-86.757008;33.549356;
56368648;-86.757031;33.549844;
56368652;-86.757033;33.550317;
56368670;-86.759086;33.53931;
56368673;-86.759089;33.541079;
56368849;-86.778455;33.529224;
56368856;-86.7784469;33.530192;
56368857;-86.778443;33.530653;
56368875;-86.778953;33.556083;
56368879;-86.778946;33.556995;
56368887;-86.778942;33.557921;
56368896;-86.77894;33.55823;
56368898;-86.778935;33.559277;
56368902;-86.778931;33.5602;
56368907;-86.778927;33.561094;
56368913;-86.7789128;33.5629232;
56368916;-86.778917;33.563365;
56368933;-86.778972;33.534688;
56368934;-86.779029;33.536074;
56368935;-86.779025;33.536487;
56368938;-86.778975;33.53976;
56368939;-86.778998;33.540159;
56368944;-86.778953;33.542065;
56368949;-86.778958;33.54289;
56368953;-86.778984;33.545276;
56368959;-86.778581;33.565257;
56368964;-86.7789;33.565754;
56369075;-86.85028;33.524241;
56369076;-86.850544;33.524247;
56369133;-86.868127;33.514522;
56369135;-86.867582;33.514539;
56369204;-86.970132;33.525381;
56369258;-86.714181;33.645292;
56369270;-86.71439;33.644711;turning_circle
56369275;-86.754958;33.533248;
56369277;-86.754059;33.532581;
56369279;-86.753001;33.531801;
56369282;-86.752636;33.531028;
56369310;-86.746035;33.518177;
56369322;-86.74416;33.516849;
56369330;-86.755806;33.526426;
56369338;-86.755184;33.525215;
56369350;-86.753469;33.523853;
56369366;-86.750453;33.520649;
56369633;-86.77445;33.521003;
56369638;-86.7740509;33.5205851;
56369650;-86.7723783;33.5188018;
56369655;-86.7707931;33.518159;
56369656;-86.770099;33.518006;
56369658;-86.77083;33.515331;
56369666;-86.770826;33.514297;
56369670;-86.770794;33.513357;
56369676;-86.770798;33.512223;
56369911;-86.882293;33.537025;
56369920;-86.883231;33.53763;
56369924;-86.883857;33.538233;
56369926;-86.884001;33.538375;
56369927;-86.885;33.539411;
56369935;-86.885984;33.540571;
56369950;-86.887545;33.540982;
56369988;-86.894;33.543754;
56370007;-86.899631;33.544765;
56370028;-86.721947;33.599015;
56370032;-86.721834;33.602224;
56370472;-86.733808;33.523556;
56370519;-86.900746;33.478966;
56370522;-86.900725;33.477265;
56370547;-86.900673;33.474449;
56370877;-86.791929;33.558433;
56370882;-86.7928099;33.5408985;
56370883;-86.792781;33.542051;
56370891;-86.792992;33.564011;
56370896;-86.7929827;33.5649027;
56370918;-86.7918;33.567578;
56370922;-86.791741;33.568358;
56371152;-86.713807;33.590938;
56371153;-86.714728;33.590922;
56371157;-86.716301;33.590946;
56371159;-86.717951;33.590983;
56371222;-86.732484;33.520057;
56371233;-86.730807;33.520159;
56371238;-86.730416;33.520156;
56371260;-86.732695;33.520356;
56371267;-86.831823;33.538562;
56371275;-86.831871;33.539175;
56371279;-86.832219;33.53998;
56371281;-86.83264;33.541032;
56371287;-86.83305;33.541924;
56371292;-86.820861;33.519266;
56371293;-86.821373;33.520013;
56371295;-86.821577;33.520303;
56371338;-86.883461;33.533969;
56371350;-86.882694;33.534868;
56371596;-86.734245;33.51522;
56371601;-86.734234;33.515791;
56371606;-86.90347;33.510728;
56371607;-86.902272;33.510069;
56371612;-86.901253;33.509509;
56371616;-86.900234;33.508946;
56371619;-86.8991172;33.5083346;
56371621;-86.8981;33.507789;
56371623;-86.897099;33.507227;
56371627;-86.896058;33.50665;
56371630;-86.895054;33.506092;
56371685;-86.880688;33.505243;
56371853;-86.86783;33.547807;
56371872;-86.739128;33.555114;
56372048;-86.91404;33.509178;
56372055;-86.925731;33.50962;
56372059;-86.9264215;33.5096309;
56372066;-86.927642;33.509642;
56372071;-86.928898;33.509653;
56372075;-86.930142;33.509664;
56372078;-86.930809;33.509669;
56372111;-86.914032;33.508834;
56372214;-86.914779;33.509169;
56372220;-86.954517;33.457514;
56372458;-86.804839;33.493611;
56372462;-86.80483;33.492401;
56372465;-86.804831;33.492196;
56372467;-86.804837;33.491555;
56372471;-86.804853;33.491107;
56372474;-86.804854;33.491028;
56372479;-86.804857;33.489663;
56372682;-86.888997;33.461275;
56372684;-86.889905;33.460313;
56372689;-86.890807;33.459336;
56372724;-86.89329;33.456863;
56372736;-86.896401;33.45422;
56372818;-86.897394;33.453335;
56372824;-86.8984099;33.4524277;
56372961;-86.728962;33.632058;
56372962;-86.729161;33.632119;
