stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
814,1830,12th Ave N and Carraway Blvd (Rally's),,33.530900000000003,-86.806389999999993,,
815,1831,12th Ave N and 24th St N,,33.529429999999998,-86.808620000000005,,
816,1832,24th St N and 11th Ave N (IB),,33.528379999999999,-86.807929999999999,,
817,1833,6th Ave N and 24th St N,,33.521720000000002,-86.803889999999996,,
818,1834,18th St N and 7th Ave N,,33.519280000000002,-86.812619999999995,,
819,1835,8th Ave and Richard Arrington Blvd,,33.522060000000003,-86.809150000000002,,
820,1836,8th Ave and 22nd St N,,33.522959999999998,-86.807299999999998,,
821,1837,24th St N and 8th Ave N,,33.524729999999998,-86.805269999999993,,
822,1838,Carraway Blvd and 12th Ave N,,33.531559999999999,-86.806229999999999,,
823,1839,Carraway Blvd and 15th Ave N,,33.535629999999998,-86.808999999999997,,
824,1840,Carraway Blvd and 16th Ave N,,33.536209999999997,-86.809439999999995,,
825,1841,Carraway Blvd and 17th Ave N,,33.538290000000003,-86.810829999999996,,
826,1842,Carraway Blvd and 19th Ave N,,33.539610000000003,-86.81174,,
827,1843,Carraway Blvd and 21st Ave N,,33.541310000000003,-86.812880000000007,,
828,1844,Carraway Blvd and Finley Blvd,,33.54645,-86.815640000000002,,
829,1845,30TH AVENUE & 27TH ST,,33.551929999999999,-86.81711,,
830,1846,27th St N and 31st Ave N,,33.553080000000001,-86.816779999999994,,
831,1847,31st Ave and 28th St N,,33.553519999999999,-86.815560000000005,,
832,1848,28th St and 30th Ave N,,33.552720000000001,-86.815150000000003,,
833,1849,29th Ave and 29th St N,,33.552010000000003,-86.810130000000001,,
834,1850,29th Ave and 30th St N,,33.55198,-86.808269999999993,,
836,1852,29th Ave and Shuttleworth Dr.,,33.551859999999998,-86.805869999999999,,
837,1853,29th Ave and 33rd St,,33.55198,-86.800659999999993,,
838,1854,33rd St and 27th Court N,,33.550609999999999,-86.800659999999993,,
839,1855,33rd St and 27th Ave N,,33.549619999999997,-86.800650000000005,,
840,1856,34th St and 28th Ave N,,33.55106,-86.798329999999993,,
841,1857,34th St and 29th Ave N,,33.551810000000003,-86.798339999999996,,
842,1858,34th St and 31st Ave N,,33.553579999999997,-86.798310000000001,,
843,1859,34th St and 32nd Ave N,,33.554340000000003,-86.798310000000001,,
844,1860,34th St and 33rd Ave N,,33.555199999999999,-86.798320000000004,,
845,1861,33rd Ave and 33rd Pl N,,33.555480000000003,-86.799400000000006,,
