service_id,date,exception_type
1014,20200316,1
1004,20200317,1
1005,20200318,1
1006,20200319,1
1007,20200320,1
1008,20200321,1
1002,20200322,1
1014,20200323,1
1004,20200324,1
1005,20200325,1
1006,20200326,1
1007,20200327,1
1008,20200328,1
1002,20200329,1
1014,20200330,1
1004,20200331,1
1005,20200401,1
1006,20200402,1
1007,20200403,1
1008,20200404,1
1002,20200405,1
1014,20200406,1
1004,20200407,1
1005,20200408,1
1006,20200409,1
1007,20200410,1
1008,20200411,1
1002,20200412,1
1014,20200413,1
1004,20200414,1
1005,20200415,1
1006,20200416,1
1007,20200417,1
1008,20200418,1
1002,20200419,1
1014,20200420,1
1004,20200421,1
1005,20200422,1
1006,20200423,1
1007,20200424,1
1008,20200425,1
1002,20200426,1
1014,20200427,1
1004,20200428,1
1005,20200429,1
1006,20200430,1
1007,20200501,1
1008,20200502,1
1002,20200503,1
1014,20200504,1
1004,20200505,1
1005,20200506,1
1006,20200507,1
1007,20200508,1
1008,20200509,1
1002,20200510,1
1014,20200511,1
1004,20200512,1
1005,20200513,1
1006,20200514,1
1007,20200515,1
1008,20200516,1
1002,20200517,1
1014,20200518,1
1004,20200519,1
1005,20200520,1
1006,20200521,1
1007,20200522,1
1008,20200523,1
1002,20200524,1
1014,20200525,1
1004,20200526,1
1005,20200527,1
1006,20200528,1
1007,20200529,1
1008,20200530,1
1002,20200531,1
1014,20200601,1
1004,20200602,1
1005,20200603,1
1006,20200604,1
1007,20200605,1
1008,20200606,1
1002,20200607,1
1014,20200608,1
1004,20200609,1
1005,20200610,1
1006,20200611,1
1007,20200612,1
1008,20200613,1
1002,20200614,1
1014,20200615,1
1004,20200616,1
1005,20200617,1
1006,20200618,1
1007,20200619,1
1008,20200620,1
1002,20200621,1
1014,20200622,1
1004,20200623,1
1005,20200624,1
1006,20200625,1
1007,20200626,1
1008,20200627,1
1002,20200628,1
1014,20200629,1
1004,20200630,1
1005,20200701,1
1006,20200702,1
1007,20200703,1
1008,20200704,1
1002,20200705,1
1014,20200706,1
1004,20200707,1
1005,20200708,1
1006,20200709,1
1007,20200710,1
1008,20200711,1
1002,20200712,1
1014,20200713,1
1004,20200714,1
1005,20200715,1
1006,20200716,1
1007,20200717,1
1008,20200718,1
1002,20200719,1
1014,20200720,1
1004,20200721,1
1005,20200722,1
1006,20200723,1
1007,20200724,1
1008,20200725,1
1002,20200726,1
1014,20200727,1
1004,20200728,1
1005,20200729,1
1006,20200730,1
1007,20200731,1
1008,20200801,1
1002,20200802,1
1014,20200803,1
1004,20200804,1
1005,20200805,1
1006,20200806,1
1007,20200807,1
1008,20200808,1
1002,20200809,1
1014,20200810,1
1004,20200811,1
1005,20200812,1
1006,20200813,1
1007,20200814,1
1008,20200815,1
1002,20200816,1
1014,20200817,1
1004,20200818,1
1005,20200819,1
1006,20200820,1
1007,20200821,1
1008,20200822,1
1002,20200823,1
1014,20200824,1
1004,20200825,1
1005,20200826,1
1006,20200827,1
1007,20200828,1
1008,20200829,1
1002,20200830,1
1014,20200831,1
1004,20200901,1
1005,20200902,1
1006,20200903,1
1007,20200904,1
1008,20200905,1
1002,20200906,1
1014,20200907,1
1004,20200908,1
1005,20200909,1
1006,20200910,1
1007,20200911,1
1008,20200912,1
1002,20200913,1
1014,20200914,1
1004,20200915,1
1005,20200916,1
1006,20200917,1
1007,20200918,1
1008,20200919,1
1002,20200920,1
1014,20200921,1
1004,20200922,1
1005,20200923,1
1006,20200924,1
1007,20200925,1
1008,20200926,1
1002,20200927,1
1014,20200928,1
1004,20200929,1
1005,20200930,1
1006,20201001,1
1007,20201002,1
1008,20201003,1
1002,20201004,1
1014,20201005,1
1004,20201006,1
1005,20201007,1
1006,20201008,1
1007,20201009,1
1008,20201010,1
1002,20201011,1
1014,20201012,1
1004,20201013,1
1005,20201014,1
1006,20201015,1
1007,20201016,1
1008,20201017,1
1002,20201018,1
1014,20201019,1
1004,20201020,1
1005,20201021,1
1006,20201022,1
1007,20201023,1
1008,20201024,1
1002,20201025,1
1014,20201026,1
1004,20201027,1
1005,20201028,1
1006,20201029,1
1007,20201030,1
1008,20201031,1
1002,20201101,1
1014,20201102,1
1004,20201103,1
1005,20201104,1
1006,20201105,1
1007,20201106,1
1008,20201107,1
1002,20201108,1
1014,20201109,1
1004,20201110,1
1005,20201111,1
1006,20201112,1
1007,20201113,1
1008,20201114,1
1002,20201115,1
1014,20201116,1
1004,20201117,1
1005,20201118,1
1006,20201119,1
1007,20201120,1
1008,20201121,1
1002,20201122,1
1014,20201123,1
1004,20201124,1
1005,20201125,1
1006,20201126,1
1007,20201127,1
1008,20201128,1
1002,20201129,1
1014,20201130,1
1004,20201201,1
1005,20201202,1
1006,20201203,1
1007,20201204,1
1008,20201205,1
1002,20201206,1
1014,20201207,1
1004,20201208,1
1005,20201209,1
1006,20201210,1
1007,20201211,1
1008,20201212,1
1002,20201213,1
1014,20201214,1
1004,20201215,1
1005,20201216,1
1006,20201217,1
1007,20201218,1
1008,20201219,1
1002,20201220,1
1014,20201221,1
1004,20201222,1
1005,20201223,1
1006,20201224,1
1007,20201225,1
1008,20201226,1
1002,20201227,1
1014,20201228,1
1004,20201229,1
1005,20201230,1
1006,20201231,1
1007,20210101,1
1008,20210102,1
1002,20210103,1
1014,20210104,1
1004,20210105,1
1005,20210106,1
1006,20210107,1
1007,20210108,1
1008,20210109,1
1002,20210110,1
1014,20210111,1
1004,20210112,1
1005,20210113,1
1006,20210114,1
1007,20210115,1
1008,20210116,1
1002,20210117,1
1014,20210118,1
1004,20210119,1
1005,20210120,1
1006,20210121,1
1007,20210122,1
1008,20210123,1
1002,20210124,1
1014,20210125,1
1004,20210126,1
1005,20210127,1
1006,20210128,1
1007,20210129,1
1008,20210130,1
1002,20210131,1
1014,20210201,1
1004,20210202,1
1005,20210203,1
1006,20210204,1
1007,20210205,1
